,inference,reevaluation,assumption,evaluation,pattern matching,repetition,reflection,justification,analysis,correction,hypothesis,selection,elimination,association,assuming,hypothesizing,inferring,questioning,comparison,recognition,error detection,clarification,elaboration,abstraction,recall,revision,analogizing,reframing,monitoring,analogy,hesitation,conditioning,reiteration,generalization,uncertainty,associating,justifying,sequencing,pattern recognition,confirmation,rationalizing,rationalization,prioritization,hypothesis generation,pattern completion,analyzing,consideration,confusion,knowledge retrieval,analogical reasoning,rephrasing,rehearsal,evaluating,integration
rationalization,0.7185928,0.7440481,0.71884537,0.70739865,0.6786314,0.694188,0.6726165,0.80828816,0.7302601,0.68338823,0.7367275,0.68785244,0.6837355,0.67368305,0.6790834,0.690071,0.70587504,0.67398244,0.6814537,0.68032306,0.64217,0.6883301,0.7023467,0.7450886,0.678594,0.7235227,0.745903,0.72018784,0.67775655,0.7455324,0.66621333,0.7352524,0.73416245,0.7894966,0.68941367,0.65523934,0.79835963,0.71999586,0.6842122,0.6808628,0.9862348,1.0000002,0.7462716,0.7591497,0.661189,0.74692774,0.7491932,0.7254598,0.6819893,0.76807725,0.7048409,0.6462155,0.7133719,0.71642536
prioritization,0.6795677,0.778234,0.6875047,0.7160843,0.6557863,0.6883219,0.6691089,0.6988377,0.7105832,0.690994,0.66876715,0.78858584,0.70712316,0.66459197,0.6782867,0.6531047,0.65929437,0.67353654,0.6994817,0.68055093,0.63795316,0.70218486,0.69759595,0.69369036,0.72509176,0.6919986,0.65999997,0.67908573,0.7182294,0.6622054,0.7221198,0.7059891,0.718743,0.725076,0.69538283,0.6714594,0.6652077,0.7485231,0.647961,0.6832522,0.74054945,0.7462716,1.0,0.6642638,0.65237296,0.71094847,0.7931266,0.7030975,0.65430456,0.661263,0.6833155,0.6613125,0.7218903,0.70327765
hypothesis generation,0.8379354,0.6640637,0.77159774,0.6901345,0.69951314,0.669389,0.66419005,0.67830807,0.73597723,0.66485244,0.8904651,0.69863886,0.66798294,0.6686533,0.7613956,0.7958049,0.8043939,0.6748252,0.680213,0.6571914,0.6740675,0.6794745,0.72444373,0.7006148,0.64454305,0.69336283,0.7186255,0.655364,0.70148045,0.7409165,0.62140584,0.6812674,0.65525025,0.7676984,0.7231721,0.6554084,0.65836203,0.73257977,0.71304095,0.66884446,0.75201213,0.7591497,0.6642638,1.0,0.66871846,0.7411661,0.68948454,0.67087805,0.7162247,0.7548682,0.66884947,0.6482694,0.70156866,0.6850256
pattern completion,0.67910683,0.6219915,0.6735062,0.6709803,0.8696319,0.72819865,0.7008857,0.65500224,0.6537322,0.6585969,0.65916693,0.6679146,0.6945142,0.6781118,0.64790213,0.61342716,0.67905253,0.6380476,0.65979093,0.65685314,0.70580465,0.66031104,0.67972964,0.7082964,0.66049796,0.70926374,0.65112895,0.6520481,0.6715601,0.65877837,0.6420237,0.66899556,0.65592766,0.6942401,0.63660645,0.67584306,0.65648943,0.77437174,0.8282733,0.69788635,0.66030943,0.661189,0.65237296,0.66871846,1.0000002,0.67204636,0.6363423,0.64391875,0.6636802,0.67715657,0.62845445,0.70833236,0.6776985,0.6827788
analyzing,0.812315,0.7380875,0.755,0.80103683,0.7144186,0.6859973,0.7393867,0.7317746,0.9596011,0.6777978,0.7431043,0.7318398,0.72742295,0.70111233,0.73739433,0.7018881,0.79379463,0.74376917,0.7554036,0.7066885,0.7178889,0.70655924,0.7351411,0.71619284,0.6735526,0.68932444,0.7516484,0.65874064,0.7938259,0.7858329,0.66553843,0.7219322,0.66188323,0.70373565,0.7212708,0.6969721,0.72368014,0.7404176,0.7284533,0.7044635,0.7592763,0.74692774,0.71094847,0.7411661,0.67204636,0.9999995,0.78534865,0.7193951,0.7066776,0.7524042,0.68508124,0.68435985,0.83657,0.716101
consideration,0.703147,0.81302536,0.727073,0.83850604,0.65576303,0.6885797,0.7606994,0.7895192,0.768284,0.7086046,0.71703404,0.80290604,0.73025405,0.6866281,0.7351352,0.6945744,0.6949927,0.75830203,0.7365859,0.74951655,0.6479831,0.7160611,0.7338934,0.708692,0.73085636,0.76060545,0.6986764,0.68726224,0.7099521,0.70399946,0.779346,0.7258741,0.6922885,0.69928205,0.7630645,0.687377,0.7371168,0.7115712,0.6626941,0.7532441,0.76244086,0.7491932,0.7931266,0.68948454,0.6363423,0.78534865,0.9999999,0.7112043,0.6468103,0.69715273,0.6893763,0.70866,0.84958076,0.743317
confusion,0.703662,0.6961045,0.7427911,0.6612864,0.66758335,0.6813911,0.7233991,0.73894316,0.68062997,0.7525589,0.69418156,0.6880392,0.6886788,0.6551293,0.7136504,0.68481976,0.6928061,0.81694424,0.6907387,0.7122222,0.6658181,0.8105315,0.67773193,0.69333464,0.7044756,0.70220745,0.6458264,0.7096369,0.665467,0.699134,0.7742322,0.67799246,0.68807256,0.68127716,0.78449607,0.6675372,0.7034626,0.6900536,0.6940223,0.7404822,0.72619843,0.7254598,0.7030975,0.67087805,0.64391875,0.7193951,0.7112043,0.99999994,0.6801441,0.7078848,0.69905454,0.6569259,0.679262,0.7082764
knowledge retrieval,0.73117745,0.639089,0.6807337,0.6776912,0.6910891,0.64820653,0.66802776,0.6808051,0.67772824,0.6631325,0.6902298,0.71508384,0.63934934,0.69234383,0.65343994,0.63444436,0.73583907,0.6649119,0.6623056,0.6905758,0.6909933,0.6975471,0.68902826,0.68729913,0.720839,0.68764395,0.62972534,0.6647036,0.6956456,0.6770481,0.6235926,0.65439975,0.62829506,0.6856263,0.6660815,0.6921971,0.64335346,0.71703935,0.72505194,0.67515725,0.67885613,0.6819893,0.65430456,0.7162247,0.6636802,0.7066776,0.6468103,0.6801441,1.0,0.68262947,0.66901934,0.62841076,0.677761,0.68548906
analogical reasoning,0.82294863,0.666534,0.7437036,0.6981497,0.70265603,0.6850878,0.6675448,0.75709945,0.73808646,0.72330344,0.7511855,0.6542059,0.6714286,0.7028993,0.74511653,0.6985318,0.777446,0.6826585,0.7514718,0.69684434,0.6628174,0.7220442,0.6961103,0.7329075,0.649111,0.6550523,0.89965403,0.6930073,0.66759187,0.88418436,0.6441262,0.69646883,0.7212609,0.73973364,0.6932723,0.6927328,0.76881945,0.71349674,0.7165859,0.6980808,0.76602304,0.76807725,0.661263,0.7548682,0.67715657,0.7524042,0.69715273,0.7078848,0.68262947,0.99999976,0.71199965,0.64574736,0.7206849,0.68361413
rephrasing,0.7119472,0.7327666,0.6950296,0.65915877,0.6480458,0.7655008,0.70701694,0.70621216,0.68052995,0.8030513,0.66220564,0.6746752,0.6653091,0.66167647,0.6737782,0.6310833,0.695135,0.63214535,0.70259464,0.7143219,0.6330175,0.71507,0.746041,0.68736964,0.73649746,0.75628066,0.73888797,0.77586347,0.65362877,0.7308272,0.6483925,0.6755644,0.7981604,0.71740454,0.6587964,0.6669986,0.70227885,0.7282361,0.6528177,0.67490995,0.70525557,0.7048409,0.6833155,0.66884947,0.62845445,0.68508124,0.6893763,0.69905454,0.66901934,0.71199965,1.0000001,0.67712414,0.6616824,0.66753256
rehearsal,0.68734753,0.6916758,0.69997096,0.6950947,0.7175094,0.7309525,0.70477545,0.663817,0.6762594,0.6903579,0.67037505,0.6838565,0.7002427,0.6447807,0.68177515,0.6509724,0.68216276,0.65181476,0.67272913,0.67395675,0.63632697,0.66186243,0.70513904,0.65297544,0.72300273,0.75864404,0.67171764,0.70330054,0.7039449,0.6733849,0.70215666,0.68693876,0.6831524,0.64612913,0.68963754,0.6421817,0.6383576,0.7184267,0.6885519,0.6857124,0.65089124,0.6462155,0.6613125,0.6482694,0.70833236,0.68435985,0.70866,0.6569259,0.62841076,0.64574736,0.67712414,1.0000001,0.69935524,0.6887708
evaluating,0.7547922,0.78460306,0.7184419,0.97568744,0.6811874,0.6933929,0.7429902,0.7589073,0.80159134,0.6607808,0.7122562,0.7601369,0.7333372,0.6787928,0.73628265,0.6763304,0.74063146,0.7642272,0.7831366,0.6950897,0.7269193,0.7001267,0.7353366,0.7040333,0.72144717,0.7375473,0.7153019,0.66386807,0.7834705,0.74288213,0.74218273,0.7461516,0.6736501,0.69878983,0.75925756,0.6736196,0.7367188,0.6948447,0.6757501,0.7517776,0.7268486,0.7133719,0.7218903,0.70156866,0.6776985,0.83657,0.84958076,0.679262,0.677761,0.7206849,0.6616824,0.69935524,1.0000002,0.7368352
integration,0.7247871,0.66701776,0.73720974,0.7262924,0.7000474,0.6720197,0.7219908,0.69517183,0.7194019,0.7138725,0.7152169,0.7420692,0.73905516,0.7797558,0.7133153,0.64711463,0.6848158,0.65791553,0.69906527,0.72348946,0.6935646,0.7173214,0.7266914,0.76257586,0.70957625,0.727715,0.6952259,0.67386,0.70792234,0.72188085,0.67757,0.692005,0.69279313,0.7319621,0.68854916,0.8081761,0.67459524,0.7292556,0.69612265,0.7090261,0.7058591,0.71642536,0.70327765,0.6850256,0.6827788,0.716101,0.743317,0.7082764,0.68548906,0.68361413,0.66753256,0.6887708,0.7368352,1.0000002
